index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782569779608,0,0,0
1,1782569780174,0,0,0
2,1782569780807,0,0,0
3,1782569781390,0,0,0
4,1782569782089,0,0,0
5,1782569782889,0,0,0
6,1782569783155,0,0,0
7,1782569783471,0,0,0
8,1782569783770,0,0,0
9,1782569784054,0,0,0
10,1782569784421,0,0,0
11,1782569784669,0,0,0
12,1782569785203,0,0,0
13,1782569785669,0,0,0
14,1782569785935,0,0,0
15,1782569786268,0,0,0
16,1782569786634,0,0,0
17,1782569786952,0,0,0
18,1782569787217,0,0,0
19,1782569787401,0,0,0
20,1782569788183,0,0,0
21,1782569789049,0,0,0
22,1782569789614,0,0,0
23,1782569792795,0,0,0
24,1782569793062,0,0,0
25,1782569795309,0,0,0
26,1782569797523,0,0,0
27,1782569797740,0,0,0
28,1782569798290,0,0,0
29,1782569798606,0,0,0
30,1782569798872,0,0,0
31,1782569799222,0,0,0
32,1782569799405,0,0,0
33,1782569802518,0,0,0
34,1782569802801,0,0,0
35,1782569803168,0,0,0
36,1782569804033,0,0,0
37,1782569804217,0,0,0
38,1782569804583,0,0,0
39,1782569804666,0,0,0
40,1782569807414,0,0,0
41,1782569807647,0,0,0
42,1782569807963,0,0,0
43,1782569808213,0,0,0
44,1782569808513,0,0,0
45,1782569809346,0,0,0
46,1782569812226,0,0,0
47,1782569812392,0,0,0
48,1782569812692,0,0,0
49,1782569813091,0,0,0
50,1782569813391,0,0,0
51,1782569813624,0,0,0
52,1782569813923,0,0,0
53,1782569814240,0,0,0
54,1782569814557,0,0,0
55,1782569814589,0,0,0
56,1782569814973,0,0,0
57,1782569815189,0,0,0
58,1782569815472,0,0,0
59,1782569815806,0,0,0
60,1782569816088,0,0,0
61,1782569816422,0,0,0
62,1782569816724,0,0,0
63,1782569816939,0,0,0
64,1782569817737,0,0,0
65,1782569818003,0,0,0
66,1782569818320,0,0,0
67,1782569818604,0,0,0
68,1782569818903,0,0,0
69,1782569819236,0,0,0
70,1782569821416,0,0,0
71,1782569821733,0,0,0
72,1782569823731,0,0,0
73,1782569824030,0,0,0
74,1782569827044,0,0,0
75,1782569827393,0,0,0
76,1782569827693,0,0,0
77,1782569827977,0,0,0
78,1782569828526,0,0,0
79,1782569828743,0,0,0
80,1782569829058,0,0,0
81,1782569829209,0,0,0
82,1782569831955,0,0,0
83,1782569832222,0,0,0
84,1782569832771,0,0,0
85,1782569833088,0,0,0
86,1782569833337,0,0,0
87,1782569833637,0,0,0
88,1782569834487,0,0,0
89,1782569834805,0,0,0
90,1782569835036,0,0,0
91,1782569835218,0,0,0
92,1782569835552,0,0,0
93,1782569835751,0,0,0
94,1782569836135,0,0,0
95,1782569838615,0,0,0
96,1782569841495,0,0,0
97,1782569841679,0,0,0
98,1782569842044,0,0,0
99,1782569842295,0,0,0
100,1782569842627,0,0,0
101,1782569842810,0,0,0
102,1782569843410,0,0,0
103,1782569843743,0,0,0
104,1782569844409,0,0,0
105,1782569844692,0,0,0
106,1782569845824,0,0,0
107,1782569848971,0,0,0
108,1782569849871,0,0,0
109,1782569851270,0,0,0
110,1782569851501,0,0,0
111,1782569851818,0,0,0
112,1782569852152,0,0,0
113,1782569852717,0,0,0
114,1782569853249,0,0,0
115,1782569853566,0,0,0
116,1782569854215,0,0,0
117,1782569854781,0,0,0
118,1782569855099,0,0,0
119,1782569855431,0,0,0
120,1782569855697,0,0,0
121,1782569855930,0,0,0
122,1782569858694,0,0,0
123,1782569858994,0,0,0
124,1782569859277,0,0,0
125,1782569859560,0,0,0
126,1782569859876,0,0,0
127,1782569860076,0,0,0
128,1782569860393,0,0,0
129,1782569861225,0,0,0
130,1782569862041,0,0,0
131,1782569862258,0,0,0
132,1782569862543,0,0,0
133,1782569863040,0,0,0
134,1782569864438,0,0,0
135,1782569865041,0,0,0
136,1782569865657,0,0,0
137,1782569865789,0,0,0
138,1782569866287,0,0,0
139,1782569866870,0,0,0
140,1782569867136,0,0,0
141,1782569867452,0,0,0
142,1782569867770,0,0,0
143,1782569867985,0,0,0
