index,date,REGEN_BRAKE_STATE,2,3,4,5,6,7,8
0,1762968053571,0,10,0,0,0,0,0,0
1,1762968053786,0,0,0,0,0,0,0,0
2,1762968053886,0,8130,235,0,0,0,0,0
3,1762968054102,0,0,0,0,0,0,0,0
4,1762968054219,0,0,0,0,0,0,0,0
5,1762968054369,0,0,0,0,0,0,0,0
6,1762968054452,0,0,0,0,0,0,0,0
7,1762968054553,0,0,0,0,0,0,0,0
8,1762968054719,0,0,0,0,0,0,0,0
9,1762968054768,0,0,65534,0,0,0,0,0
10,1762968054886,0,0,0,0,0,0,0,0
11,1762968055003,0,0,0,0,0,0,0,0
12,1762968055102,0,8126,221,0,0,0,0,0
13,1762968055201,0,0,0,0,0,0,0,0
14,1762968055318,0,0,0,0,0,0,0,0
15,1762968055435,0,0,0,0,0,0,0,0
16,1762968055585,0,0,0,0,0,0,0,0
17,1762968055669,0,0,0,0,0,0,0,0
18,1762968055752,0,0,0,0,0,0,0,0
19,1762968055885,0,0,0,0,0,0,0,0
20,1762968056085,0,0,0,0,0,0,0,0
21,1762968056201,0,0,0,0,0,0,0,0
22,1762968056351,0,0,0,0,0,0,0,0
23,1762968056418,0,0,0,0,0,0,0,0
24,1762968056535,0,0,0,0,0,0,0,0
25,1762968056667,0,0,0,0,0,0,0,0
26,1762968056767,0,0,0,0,0,0,0,0
27,1762968056867,0,0,0,0,0,0,0,0
28,1762968056984,0,0,0,0,0,0,0,0
29,1762968057084,0,0,0,0,0,0,0,0
30,1762968057300,0,0,0,0,0,0,0,0
31,1762968057417,0,0,0,0,0,0,0,0
32,1762968057533,0,0,0,0,0,0,0,0
33,1762968057850,0,0,0,0,0,0,0,0
34,1762968057966,0,0,0,0,0,0,0,0
35,1762968058067,0,0,0,0,0,0,0,0
36,1762968058183,0,0,0,0,0,0,0,0
37,1762968058283,0,0,0,0,0,0,0,0
38,1762968058499,0,65527,0,0,0,0,0,0
39,1762968058832,0,0,0,0,0,0,0,0
40,1762968058949,0,0,0,0,0,0,0,0
41,1762968059166,0,0,0,0,0,0,0,0
42,1762968059299,0,0,65535,0,0,0,0,0
43,1762968059398,0,0,0,0,0,0,0,0
44,1762968059615,0,0,0,0,0,0,0,0
45,1762968059948,0,0,0,0,0,0,0,0
46,1762968060165,0,65528,65535,0,0,0,0,0
47,1762968060598,0,0,0,0,0,0,0,0
48,1762968060714,0,0,0,0,0,0,0,0
49,1762968060831,0,3.32,3.32,3.32,0,0,0,0
50,1762968061030,0,0,0,0,0,0,0,0
51,1762968061280,0,0,0,0,0,0,0,0
52,1762968061364,0,0,0,0,0,0,0,0
53,1762968061497,0,0,0,0,0,0,0,0
54,1762968061596,0,0,0,0,0,0,0,0
55,1762968061747,0,0,0,0,0,0,0,0
56,1762968061930,0,0,0,0,0,0,0,0
57,1762968062029,0,0,0,0,0,0,0,0
58,1762968062146,0,65528,65535,0,0,0,0,0
59,1762968062362,0,0,0,0,0,0,0,0
60,1762968062463,0,0,0,0,0,0,0,0
61,1762968062579,0,0,0,0,0,0,0,0
62,1762968062695,0,0,0,0,0,0,0,0
63,1762968062796,0,0,0,0,0,0,0,0
64,1762968063245,0,0,0,0,0,0,0,0
65,1762968063362,0,0,0,0,0,0,0,0
66,1762968063461,0,0,0,0,0,0,0,0
67,1762968063595,0,3.32,3.31,3.31,0,0,0,0
68,1762968063694,0,0,0,0,0,0,0,0
69,1762968063795,0,0,0,0,0,0,0,0
70,1762968063911,0,0,0,0,0,0,0,0
71,1762968064012,0,3.32,3.32,3.31,0,0,0,0
72,1762968064129,0,0,0,0,0,0,0,0
73,1762968064245,0,0,0,0,0,0,0,0
74,1762968064344,0,0,0,0,0,0,0,0
75,1762968064462,0,0,0,0,0,0,0,0
76,1762968064562,0,0,0,0,0,0,0,0
77,1762968064677,0,0,0,0,0,0,0,0
78,1762968064777,0,0,212,0,0,0,0,0
79,1762968064894,0,0,0,0,0,0,0,0
80,1762968064993,0,0,0,0,0,0,0,0
81,1762968065111,0,65529,65535,0,0,0,0,0
82,1762968065227,0,0,0,0,0,0,0,0
83,1762968065343,0,0,0,0,0,0,0,0
84,1762968065560,0,0,0,0,0,0,0,0
85,1762968065661,0,0,0,0,0,0,0,0
86,1762968065777,0,0,0,0,0,0,0,0
87,1762968065876,0,8136,219,0,0,0,0,0
88,1762968065993,0,0,0,0,0,0,0,0
89,1762968066109,0,8136,217,0,0,0,0,0
90,1762968066209,0,8137,214,0,0,0,0,0
91,1762968066426,0,0,0,0,0,0,0,0
92,1762968066543,0,0,0,0,0,0,0,0
93,1762968066659,0,0,0,0,0,0,0,0
94,1762968066876,0,0,0,0,0,0,0,0
95,1762968066992,0,0,224,0,0,0,0,0
96,1762968067093,0,0,0,0,0,0,0,0
97,1762968067208,0,0,33178,33154,0,0,0,0
98,1762968067308,0,0,0,0,0,0,0,0
99,1762968067425,0,0,0,0,0,0,0,0
100,1762968067541,0,0,0,0,0,0,0,0
101,1762968067641,0,0,0,0,0,0,0,0
102,1762968067758,0,0,0,0,0,0,0,0
103,1762968067858,0,0,0,0,0,0,0,0
