index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765895459489,0,0,0,0,0,0,0,0
1,1765895459721,0,0,0,0,0,0,0,0
2,1765895459938,0,0,0,0,0,0,0,0
3,1765895460171,0,0,0,0,0,0,0,0
4,1765895460637,0,0,0,0,0,0,0,0
5,1765895461103,0,0,0,0,0,0,0,0
6,1765895461603,0,0,0,0,0,0,0,0
7,1765895463835,0,0,0,0,0,0,0,0
8,1765895469113,0,0,0,0,0,0,0,0
9,1765895469646,0,0,0,0,0,0,0,0
10,1765895470179,0,0,0,0,0,0,0,0
11,1765895470678,0,0,0,0,0,0,0,0
12,1765895471196,0,0,0,0,0,0,0,0
13,1765895472077,0,0,0,0,0,0,0,0
14,1765895472660,0,0,0,0,0,0,0,0
15,1765895473743,0,0,0,0,0,0,0,0
16,1765895474275,0,0,0,0,0,0,0,0
17,1765895474791,0,0,0,0,0,0,0,0
18,1765895475374,0,0,0,0,0,0,0,0
19,1765895475924,0,0,0,0,0,0,0,0
20,1765895476457,0,0,0,0,0,0,0,0
21,1765895477590,0,0,0,0,0,0,0,0
22,1765895478089,0,0,0,0,0,0,0,0
23,1765895478639,0,0,0,0,0,0,0,0
24,1765895479138,0,0,0,0,0,0,0,0
25,1765895479688,0,0,0,0,0,0,0,0
26,1765895481103,0,0,0,0,0,0,0,0
27,1765895481603,0,0,0,0,0,0,0,0
28,1765895482120,0,0,0,0,0,0,0,0
29,1765895482636,0,0,0,0,0,0,0,0
30,1765895483201,0,0,0,0,0,0,0,0
31,1765895486798,0,0,0,0,0,0,0,0
32,1765895487397,0,0,0,0,0,0,0,0
33,1765895487897,0,0,0,0,0,0,0,0
34,1765895488396,0,0,0,0,0,0,0,0
35,1765895488963,0,0,0,0,0,0,0,0
36,1765895489529,0,0,0,0,0,0,0,0
37,1765895490112,0,0,0,0,0,0,0,0
38,1765895490628,0,0,0,0,0,0,0,0
39,1765895491177,0,0,0,0,0,0,0,0
40,1765895492493,0,0,0,0,0,0,0,0
41,1765895493027,0,0,0,0,0,0,0,0
42,1765895493559,0,0,0,0,0,0,0,0
43,1765895496640,0,0,0,0,0,0,0,0
44,1765895497140,0,0,0,0,0,0,0,0
45,1765895497706,0,0,0,0,0,0,0,0
46,1765895498256,0,0,0,0,0,0,0,0
47,1765895498807,0,0,0,0,0,0,0,0
