index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
0,1782588357742,0,0
1,1782588358574,0,0
2,1782588359491,0,0
3,1782588360291,0,0
4,1782588360373,0,0
5,1782588362172,0,0
6,1782588362555,0,0
7,1782588362954,0,0
8,1782588363204,0,0
9,1782588363404,0,0
10,1782588363654,0,0
11,1782588364103,0,0
12,1782588367567,0,0
13,1782588367817,0,0
14,1782588368749,0,0
15,1782588368866,0,0
16,1782588369649,0,0
17,1782588370481,0,0
18,1782588370598,0,0
19,1782588371297,0,0
20,1782588371382,0,0
21,1782588372030,0,0
22,1782588372096,0,0
23,1782588372763,0,0
24,1782588372829,0,0
25,1782588374161,0,0
26,1782588374628,0,0
27,1782588375210,0,0
28,1782588375494,0,0
29,1782588375727,0,0
30,1782588376094,0,0
31,1782588376444,0,0
32,1782588381072,0,0
33,1782588381306,0,0
34,1782588382438,0,0
35,1782588382754,0,0
36,1782588383138,0,0
37,1782588383454,0,0
38,1782588383953,0,0
39,1782588384271,0,0
40,1782588384569,0,0
41,1782588384969,0,0
42,1782588385269,0,0
43,1782588388516,0,0
44,1782588390231,0,0
45,1782588390548,0,0
46,1782588390914,0,0
47,1782588391114,0,0
48,1782588391380,0,0
49,1782588391663,0,0
50,1782588391980,0,0
51,1782588392263,0,0
52,1782588392613,0,0
53,1782588392896,0,0
54,1782588393279,0,0
55,1782588393529,0,0
56,1782588394011,0,0
57,1782588394296,0,0
58,1782588394645,0,0
59,1782588394994,0,0
60,1782588395311,0,0
61,1782588395611,0,0
62,1782588396193,0,0
63,1782588396460,0,0
64,1782588398608,0,0
65,1782588398674,0,0
66,1782588399124,0,0
67,1782588399357,0,0
68,1782588399890,0,0
69,1782588400256,0,0
70,1782588400573,0,0
71,1782588400790,0,0
72,1782588403603,0,0
73,1782588403936,0,0
74,1782588404186,0,0
75,1782588404736,0,0
76,1782588404919,0,0
77,1782588405602,0,0
78,1782588405701,0,0
79,1782588406501,0,0
80,1782588407333,0,0
81,1782588407400,0,0
82,1782588408217,0,0
83,1782588409016,0,0
84,1782588409832,0,0
85,1782588409982,0,0
86,1782588410731,0,0
87,1782588411564,0,0
88,1782588411663,0,0
89,1782588412479,0,0
90,1782588413295,0,0
91,1782588414061,0,0
92,1782588414211,0,0
93,1782588414994,0,0
94,1782588415793,0,0
95,1782588415943,0,0
96,1782588417992,0,0
97,1782588418258,0,0
98,1782588418641,0,0
99,1782588418775,0,0
100,1782588419074,0,0
101,1782588419357,0,0
102,1782588419807,0,0
103,1782588422737,0,0
104,1782588423121,0,0
105,1782588423486,0,0
106,1782588423720,0,0
107,1782588424603,0,0
108,1782588424785,0,0
109,1782588425119,0,0
110,1782588425385,0,0
111,1782588425735,0,0
112,1782588426018,0,0
113,1782588429000,0,0
114,1782588430398,0,0
115,1782588431081,0,0
116,1782588431298,0,0
117,1782588432579,0,0
118,1782588434461,0,0
119,1782588434877,0,0
120,1782588436726,0,0
121,1782588437625,0,0
122,1782588438041,0,0
123,1782588438274,0,0
124,1782588438541,0,0
125,1782588440023,0,0
126,1782588440873,0,0
127,1782588442138,0,0
128,1782588443653,0,0
129,1782588443986,0,0
130,1782588445335,0,0
131,1782588445851,0,0
132,1782588446134,0,0
133,1782588447483,0,0
134,1782588447801,0,0
135,1782588448299,0,0
136,1782588448783,0,0
137,1782588449632,0,0
138,1782588450047,0,0
139,1782588450365,0,0
140,1782588451047,0,0
141,1782588452480,0,0
142,1782588452662,0,0
143,1782588453578,0,0
144,1782588460589,0,0
145,1782588499523,0,0
146,1782588499623,0,0
147,1782588500438,0,0
148,1782588501238,0,0
149,1782588501371,0,0
150,1782588502038,0,0
151,1782588502137,0,0
152,1782588503586,0,0
153,1782588503903,0,0
154,1782588504268,0,0
155,1782588504552,0,0
156,1782588504902,0,0
157,1782588505584,0,0
158,1782588507100,0,0
159,1782588507150,0,0
160,1782588507966,0,0
161,1782588508249,0,0
162,1782588508598,0,0
163,1782588508799,0,0
164,1782588509116,0,0
165,1782588509731,0,0
166,1782588511163,0,0
167,1782588511463,0,2304
168,1782588511796,0,0
169,1782588512112,0,0
170,1782588512345,0,0
171,1782588513211,0,0
172,1782588513561,0,0
173,1782588513877,0,0
174,1782588514127,0,0
175,1782588514561,0,0
176,1782588514793,0,0
177,1782588515609,0,0
178,1782588515942,0,0
179,1782588518974,0,0
180,1782588519340,0,0
181,1782588519689,0,0
182,1782588519807,0,0
183,1782588520090,0,0
184,1782588520490,0,0
185,1782588520738,0,0
186,1782588524036,0,0
187,1782588524435,0,0
188,1782588524585,0,0
189,1782588525235,0,0
190,1782588525584,0,0
191,1782588525934,0,0
192,1782588527416,0,0
193,1782588529447,0,0
194,1782588530280,0,0
195,1782588530646,0,0
196,1782588531264,0,0
197,1782588531562,0,0
198,1782588531979,0,0
199,1782588534694,0,0
200,1782588534993,0,0
201,1782588538740,0,0
202,1782588539057,0,0
203,1782588540106,0,0
204,1782588540238,0,0
205,1782588540522,0,0
206,1782588540821,0,0
207,1782588541171,0,0
208,1782588541472,0,0
209,1782588541737,0,0
210,1782588541971,0,0
211,1782588542270,0,0
212,1782588542603,0,0
213,1782588543019,0,0
214,1782588544385,0,0
215,1782588544801,0,0
216,1782588549448,0,0
217,1782588555243,0,0
218,1782588555959,0,0
219,1782588556209,0,0
220,1782588556458,0,0
221,1782588559389,0,0
222,1782588559689,0,0
223,1782588561654,0,0
224,1782588562137,0,0
225,1782588564069,0,0
226,1782588564353,0,0
227,1782588566650,0,0
