index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
0,1782588357558,0,0,0
1,1782588358258,0,0,0
2,1782588358375,0,0,0
3,1782588359191,0,0,0
4,1782588359990,0,0,0
5,1782588360123,0,0,0
6,1782588360973,0,0,0
7,1782588361273,0,0,0
8,1782588362939,0,0,0
9,1782588363038,0,0,0
10,1782588363854,0,0,0
11,1782588364187,0,0,0
12,1782588364570,0,0,0
13,1782588365852,0,0,0
14,1782588365985,0,0,0
15,1782588366351,0,0,0
16,1782588366701,0,0,0
17,1782588368500,0,0,0
18,1782588368567,0,0,0
19,1782588369399,0,0,0
20,1782588370165,0,0,0
21,1782588370316,0,0,0
22,1782588371131,0,0,0
23,1782588372596,0,0,0
24,1782588373296,0,0,0
25,1782588373978,0,0,0
26,1782588383270,0,0,0
27,1782588383604,0,0,0
28,1782588385452,0,0,0
29,1782588386385,0,0,0
30,1782588386585,0,0,0
31,1782588393362,0,0,0
32,1782588395427,0,0,0
33,1782588395980,0,0,0
34,1782588396027,0,0,0
35,1782588396609,0,0,0
36,1782588396960,0,0,0
37,1782588397276,0,0,0
38,1782588397909,0,0,0
39,1782588398425,0,0,0
40,1782588399190,0,0,0
41,1782588400073,0,0,0
42,1782588400357,0,0,0
43,1782588403337,0,0,0
44,1782588403437,0,0,0
45,1782588405435,0,0,0
46,1782588406185,0,0,0
47,1782588407034,0,0,0
48,1782588407134,0,0,0
49,1782588407917,0,0,0
50,1782588408750,0,0,0
51,1782588408833,0,0,0
52,1782588409665,0,0,0
53,1782588410482,0,0,0
54,1782588411397,0,0,0
55,1782588412179,0,0,0
56,1782588413012,0,0,0
57,1782588413096,0,0,0
58,1782588413911,0,0,0
59,1782588414728,0,0,0
60,1782588414810,0,0,0
61,1782588415626,0,0,0
62,1782588416509,0,0,0
63,1782588416676,0,0,0
64,1782588417042,0,0,0
65,1782588418458,0,0,0
66,1782588419940,0,0,0
67,1782588420372,0,0,0
68,1782588420673,0,0,0
69,1782588421455,0,0,0
70,1782588421821,0,0,0
71,1782588422171,0,0,0
72,1782588423303,0,0,0
73,1782588427150,0,0,0
74,1782588427400,0,0,0
75,1782588427933,0,0,0
76,1782588428266,0,0,0
77,1782588428483,0,0,0
78,1782588429299,0,0,0
79,1782588429665,0,0,0
80,1782588430581,0,0,0
81,1782588430914,0,0,0
82,1782588431464,0,0,0
83,1782588431879,0,0,0
84,1782588432795,0,0,0
85,1782588433195,0,0,0
86,1782588433428,0,0,0
87,1782588433728,0,0,0
88,1782588434094,0,0,0
89,1782588434128,0,0,0
90,1782588435043,0,0,0
91,1782588436925,0,0,0
92,1782588437325,0,0,0
93,1782588439191,0,0,0
94,1782588440056,0,0,0
95,1782588440473,0,0,0
96,1782588440706,0,0,0
97,1782588440973,0,0,0
98,1782588441405,0,0,0
99,1782588442321,0,0,0
100,1782588444186,0,0,0
101,1782588444619,0,0,0
102,1782588446384,0,0,0
103,1782588446750,0,0,0
104,1782588448915,0,0,0
105,1782588450165,0,0,0
106,1782588451047,0,0,0
107,1782588451430,0,0,0
108,1782588460772,0,0,0
109,1782588499323,0,0,0
110,1782588500156,0,0,0
111,1782588500971,0,0,0
112,1782588501055,0,0,0
113,1782588501871,0,0,0
114,1782588510264,0,0,0
115,1782588514610,0,0,0
116,1782588516125,0,0,0
117,1782588516525,0,0,0
118,1782588517457,0,0,0
119,1782588518124,0,0,0
120,1782588519140,0,0,0
121,1782588519490,0,0,0
122,1782588520323,0,0,0
123,1782588521271,0,0,0
124,1782588522287,0,0,0
125,1782588522487,0,0,0
126,1782588522753,0,0,0
127,1782588523136,0,0,0
128,1782588526050,0,0,0
129,1782588526467,0,0,0
130,1782588527216,0,0,0
131,1782588527599,0,0,0
132,1782588527898,0,0,0
133,1782588531729,0,0,0
134,1782588533760,0,0,0
135,1782588534527,0,0,0
136,1782588534809,0,0,0
137,1782588535126,0,0,0
138,1782588535442,0,0,0
139,1782588535809,0,0,0
140,1782588536092,0,0,0
141,1782588536726,0,0,0
142,1782588536942,0,0,0
143,1782588537191,0,0,0
144,1782588537491,0,0,0
145,1782588538173,0,0,0
146,1782588543186,0,0,0
147,1782588543454,0,0,0
148,1782588543835,0,0,0
149,1782588544085,0,0,0
150,1782588544551,0,0,0
151,1782588544935,0,0,0
152,1782588545251,0,0,0
153,1782588545617,0,0,0
154,1782588546750,0,0,0
155,1782588547016,0,0,0
156,1782588547332,0,0,0
157,1782588547615,0,0,0
158,1782588547916,0,0,0
159,1782588548249,0,0,0
160,1782588548564,0,0,0
161,1782588549131,0,0,0
162,1782588549264,0,0,0
163,1782588549647,0,0,0
164,1782588549897,0,0,0
165,1782588550214,0,0,0
166,1782588550563,0,0,0
167,1782588551100,0,0,0
168,1782588551146,0,0,0
169,1782588551479,0,0,0
170,1782588551629,0,0,0
171,1782588551880,0,0,0
172,1782588552228,0,0,0
173,1782588552645,0,0,0
174,1782588554143,0,0,0
175,1782588554277,0,0,0
176,1782588554661,0,0,0
177,1782588559222,0,0,0
178,1782588559489,0,0,0
179,1782588559739,0,0,0
180,1782588560121,0,0,0
181,1782588560422,0,0,0
182,1782588560755,0,0,0
183,1782588561005,0,0,0
184,1782588561371,0,0,0
185,1782588561470,0,0,0
186,1782588562124,0,0,0
187,1782588562137,0,0,0
188,1782588562420,0,0,0
189,1782588562703,0,0,0
190,1782588563103,0,0,0
191,1782588563386,0,0,0
192,1782588563719,0,0,0
193,1782588563902,0,0,0
194,1782588564119,0,0,0
195,1782588564435,0,0,0
196,1782588564735,0,0,0
197,1782588565084,0,0,0
198,1782588565384,0,0,0
199,1782588565767,0,0,0
200,1782588566050,0,0,0
201,1782588566399,0,0,0
202,1782588566484,0,0,0
203,1782588566816,0,0,0
204,1782588567149,0,0,0
205,1782588568948,0,0,0
206,1782588569197,0,65534,0
207,1782588570680,463,1179,7
208,1782588571146,649,1449,12
209,1782588571712,1174,2871,45
210,1782588572712,2015,2441,66
211,1782588573328,2524,2178,74
212,1782588574294,3040,2644,109
213,1782588575009,3511,1688,80
214,1782588576925,4487,1262,77
215,1782588577541,4660,649,40
216,1782588579172,0,0,0
217,1782588579622,0,0,0
218,1782588580238,0,0,0
219,1782588580654,0,0,0
220,1782588580972,0,0,0
221,1782588581137,0,0,0
222,1782588582203,0,0,0
223,1782588583152,0,0,0
224,1782588584201,0,0,0
225,1782588584435,0,0,0
226,1782588585334,0,0,0
227,1782588585601,0,0,0
228,1782588586184,0,0,0
229,1782588586583,0,0,0
230,1782588587615,0,0,0
231,1782588589147,0,1,0
232,1782588590180,0,0,0
233,1782588590547,0,0,0
234,1782588590696,0,0,0
235,1782588591762,0,0,0
236,1782588592811,0,0,0
237,1782588593310,0,0,0
238,1782588593760,0,0,0
239,1782588594393,0,0,0
240,1782588596408,0,0,0
241,1782588596958,0,0,0
242,1782588597392,0,0,0
243,1782588597990,0,0,0
244,1782588598939,0,0,0
245,1782588600038,0,0,0
246,1782588600271,0,0,0
