index,date,ADDR_CELL_VOLT_MIN,ADDR_STACK_VOLT_MIN,MIN_VOLTAGE
0,1782674146143,0,0,0
1,1782674147328,0,0,0
2,1782674148909,0,0,0
3,1782674150575,0,0,0
4,1782674151593,0,0,0
5,1782674153375,0,0,0
6,1782674154559,0,0,0
7,1782674155292,0,0,0
8,1782674156425,0,0,0
9,1782674158143,0,0,0
10,1782674159360,0,0,0
11,1782674161143,0,0,0
12,1782674163059,0,0,0
13,1782674166094,0,0,0
14,1782674167775,0,0,0
15,1782674168943,0,0,0
16,1782674170792,0,0,0
17,1782674175160,0,0,0
18,1782674176343,0,0,0
19,1782674178126,0,0,0
20,1782674179743,0,0,0
